"NRM","scenario","parameter_groups","signif","no_terms"
"burdekin","Post-2015","Intercept",9,11
"burdekin","Post-2015","Seasonal",3,12
"burdekin","Post-2015","Sites",17,30
"burdekin","Post-2015","Trend",0,6
"burdekin","Pre-2015","Intercept",4,6
"burdekin","Pre-2015","Seasonal",3,12
"burdekin","Pre-2015","Sites",6,12
"burdekin","Pre-2015","Trend",1,6
"burdekin","Pre-2015-S1","Intercept",4,6
"burdekin","Pre-2015-S1","Seasonal",3,12
"burdekin","Pre-2015-S1","Sites",4,12
"burdekin","Pre-2015-S1","Trend",1,6
"burdekin","Pre-2015-S2","Intercept",5,6
"burdekin","Pre-2015-S2","Seasonal",3,12
"burdekin","Pre-2015-S2","Sites",6,12
"burdekin","Pre-2015-S2","Trend",1,6
"burdekin","Pre-2015-S3","Intercept",4,6
"burdekin","Pre-2015-S3","Seasonal",2,12
"burdekin","Pre-2015-S3","Sites",2,12
"burdekin","Pre-2015-S3","Trend",0,6
"russ_mull","Post-2015","Intercept",8,11
"russ_mull","Post-2015","Seasonal",7,12
"russ_mull","Post-2015","Sites",6,24
"russ_mull","Post-2015","Trend",1,6
"russ_mull","Pre-2015","Intercept",4,6
"russ_mull","Pre-2015","Seasonal",3,12
"russ_mull","Pre-2015","Sites",4,12
"russ_mull","Pre-2015","Trend",1,6
"russ_mull","Pre-2015-S1","Intercept",4,6
"russ_mull","Pre-2015-S1","Seasonal",3,12
"russ_mull","Pre-2015-S1","Sites",1,12
"russ_mull","Pre-2015-S1","Trend",0,6
"russ_mull","Pre-2015-S2","Intercept",5,6
"russ_mull","Pre-2015-S2","Seasonal",3,12
"russ_mull","Pre-2015-S2","Sites",3,12
"russ_mull","Pre-2015-S2","Trend",0,6
"russ_mull","Pre-2015-S3","Intercept",4,6
"russ_mull","Pre-2015-S3","Seasonal",3,12
"russ_mull","Pre-2015-S3","Sites",2,12
"russ_mull","Pre-2015-S3","Trend",0,6
"tully","Post-2015","Intercept",10,11
"tully","Post-2015","Seasonal",7,12
"tully","Post-2015","Sites",27,30
"tully","Post-2015","Trend",1,6
"tully","Pre-2015","Intercept",5,6
"tully","Pre-2015","Seasonal",2,12
"tully","Pre-2015","Trend",1,6
"tully","Pre-2015-S1","Intercept",4,6
"tully","Pre-2015-S1","Seasonal",0,12
"tully","Pre-2015-S1","Trend",0,6
"tully","Pre-2015-S2","Intercept",4,6
"tully","Pre-2015-S2","Seasonal",0,12
"tully","Pre-2015-S2","Trend",0,6
"tully","Pre-2015-S3","Intercept",4,6
"tully","Pre-2015-S3","Seasonal",0,12
"tully","Pre-2015-S3","Trend",0,6
"wtsndys","Post-2015","Intercept",5,6
"wtsndys","Post-2015","Seasonal",4,12
"wtsndys","Post-2015","Sites",8,24
"wtsndys","Post-2015","Trend",0,6
"wtsndys","Pre-2015","Intercept",4,6
"wtsndys","Pre-2015","Seasonal",4,12
"wtsndys","Pre-2015","Sites",1,12
"wtsndys","Pre-2015","Trend",4,6
"wtsndys","Pre-2015-S1","Intercept",4,6
"wtsndys","Pre-2015-S1","Seasonal",1,12
"wtsndys","Pre-2015-S1","Sites",0,12
"wtsndys","Pre-2015-S1","Trend",0,6
"wtsndys","Pre-2015-S2","Intercept",6,6
"wtsndys","Pre-2015-S2","Seasonal",3,12
"wtsndys","Pre-2015-S2","Sites",1,12
"wtsndys","Pre-2015-S2","Trend",1,6
"wtsndys","Pre-2015-S3","Intercept",4,6
"wtsndys","Pre-2015-S3","Seasonal",2,12
"wtsndys","Pre-2015-S3","Sites",1,12
"wtsndys","Pre-2015-S3","Trend",1,6
